film_id,title,studio,corpus_role,release_date,release_year,production_status,production_partners,release_type,franchise_status,source_material_status,inclusion_status,exclusion_reason,edge_case_note,primary_source,secondary_source,verification_note,retrieval_date,corpus_assignment,corporate_group_at_release,release_context,animation_form,candidate_basis
DWA_1998_ANTZ,Antz,DreamWorks Animation,core,1998-10-02,1998,co_production,Pacific Data Images,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_1998_THE_PRINCE_OF_EGYPT,The Prince of Egypt,DreamWorks Animation,core,1998-12-18,1998,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2000_THE_ROAD_TO_EL_DORADO,The Road to El Dorado,DreamWorks Animation,core,2000-03-31,2000,sole_production,,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2000_CHICKEN_RUN,Chicken Run,DreamWorks Animation,core,2000-06-23,2000,co_production,Aardman Animations; Pathé,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2001_SHREK,Shrek,DreamWorks Animation,core,2001-05-18,2001,co_production,Pacific Data Images,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2002_SPIRIT_STALLION_OF_THE_CIMARRON,Spirit: Stallion of the Cimarron,DreamWorks Animation,core,2002-05-24,2002,sole_production,,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2003_SINBAD_LEGEND_OF_THE_SEVEN_SEAS,Sinbad: Legend of the Seven Seas,DreamWorks Animation,core,2003-07-02,2003,sole_production,,theatrical,first_entry,adaptation_existing_source,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2004_SHREK_2,Shrek 2,DreamWorks Animation,core,2004-05-19,2004,co_production,Pacific Data Images,theatrical,sequel,existing_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2004_SHARK_TALE,Shark Tale,DreamWorks Animation,core,2004-10-01,2004,co_production,Pacific Data Images,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
DWA_2005_MADAGASCAR,Madagascar,DreamWorks Animation,core,2005-05-27,2005,co_production,Pacific Data Images,theatrical,first_entry,original_screen_ip,INCLUDE,,,https://www.dreamworks.com/movies,https://en.wikipedia.org/wiki/List_of_DreamWorks_Animation_productions,DreamWorks attribution checked against the official movie catalogue and cross-checked against the independent production filmography; non-standard release cases were verified separately.,2026-08-18,CORE_DWA,DreamWorks Animation,standard,animated,official_catalogue
