film_id,title,studio,corpus_role,corpus_assignment,competitive_side,corporate_group_at_release,release_date,release_year,production_status,production_partners,release_type,release_context,animation_form,franchise_status,franchise_name,source_material_status,tmdb_id,financial_source_url,production_budget_usd_nominal,production_budget_low_usd_nominal,production_budget_high_usd_nominal,budget_value_type,budget_note,domestic_box_office_usd_nominal,international_box_office_usd_nominal,worldwide_box_office_usd_nominal,box_office_note,tmdb_user_rating,tmdb_vote_count,financial_retrieval_date,tmdb_retrieval_date,is_franchise_extension,domestic_box_office_usd_jul2026,worldwide_gross_to_budget_ratio
DWA_1998_ANTZ,Antz,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,1998-10-02,1998,co_production,Pacific Data Images,theatrical,standard,animated,first_entry,,original_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,60000000.0,,,point_value,,90757863.0,,152457863,,,,2026-08-18,,False,184790756.69,2.540964
DWA_1998_THE_PRINCE_OF_EGYPT,The Prince of Egypt,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,1998-12-18,1998,sole_production,,theatrical,standard,animated,first_entry,,adaptation_existing_source,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,60000000.0,,,point_value,,101413188.0,,218613188,,,,2026-08-18,,False,206611890.85,3.643553
DWA_2000_THE_ROAD_TO_EL_DORADO,The Road to El Dorado,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2000-03-31,2000,sole_production,,theatrical,standard,animated,first_entry,,original_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,95000000.0,,,point_value,,50802661.0,,65700000,,,,2026-08-18,,False,99088335.02,0.691579
DWA_2000_CHICKEN_RUN,Chicken Run,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2000-06-23,2000,co_production,Aardman Animations; Pathé,theatrical,standard,animated,first_entry,Chicken Run,original_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,42000000.0,,,point_value,,106793915.0,,227793915,,,,2026-08-18,,False,206846928.71,5.423665
DWA_2001_SHREK,Shrek,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2001-05-18,2001,co_production,Pacific Data Images,theatrical,standard,animated,first_entry,Shrek,adaptation_existing_source,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,50000000.0,,,point_value,,268377061.0,,492534844,,,,2026-08-18,,False,504310250.17,9.850697
DWA_2002_SPIRIT_STALLION_OF_THE_CIMARRON,Spirit: Stallion of the Cimarron,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2002-05-24,2002,sole_production,,theatrical,standard,animated,first_entry,Spirit,original_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,80000000.0,,,point_value,,73215310.0,,106515310,,,,2026-08-18,,False,135972802.47,1.331441
DWA_2003_SINBAD_LEGEND_OF_THE_SEVEN_SEAS,Sinbad: Legend of the Seven Seas,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2003-07-02,2003,sole_production,,theatrical,standard,animated,first_entry,,adaptation_existing_source,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,60000000.0,,,point_value,,26483452.0,,80767884,,,,2026-08-18,,False,48087554.78,1.346131
DWA_2004_SHREK_2,Shrek 2,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2004-05-19,2004,co_production,Pacific Data Images,theatrical,standard,animated,sequel,Shrek,existing_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,70000000.0,,,point_value,,439820881.0,,933848612,,,,2026-08-18,,True,776647852.68,13.340694
DWA_2004_SHARK_TALE,Shark Tale,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2004-10-01,2004,co_production,Pacific Data Images,theatrical,standard,animated,first_entry,,original_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,75000000.0,,,point_value,,161412000.0,,371741123,,,,2026-08-18,,False,282338251.52,4.956548
DWA_2005_MADAGASCAR,Madagascar,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2005-05-27,2005,co_production,Pacific Data Images,theatrical,standard,animated,first_entry,Madagascar,original_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,75000000.0,,,point_value,,193595521.0,,556559566,,,,2026-08-18,,False,332536158.34,7.420794
DWA_2005_WALLACE_GROMIT_THE_CURSE_OF_THE_WERE_RABBIT,Wallace & Gromit: The Curse of the Were-Rabbit,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2005-10-07,2005,co_production,Aardman Animations,theatrical,standard,animated,first_entry,,existing_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,30000000.0,,,point_value,,56068547.0,,197593152,,,,2026-08-18,,False,93987435.13,6.586438
DWA_2006_OVER_THE_HEDGE,Over the Hedge,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2006-05-19,2006,co_production,Pacific Data Images,theatrical,standard,animated,first_entry,,adaptation_existing_source,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,80000000.0,,,point_value,,155019340.0,,343397247,,,,2026-08-18,,False,255623446.79,4.292466
DWA_2006_FLUSHED_AWAY,Flushed Away,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2006-11-03,2006,co_production,Aardman Animations,theatrical,standard,animated,first_entry,,original_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,149000000.0,,,point_value,,64665672.0,,179357126,,,,2026-08-18,,False,107161448.45,1.203739
DWA_2007_SHREK_THE_THIRD,Shrek the Third,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2007-05-18,2007,co_production,Pacific Data Images,theatrical,standard,animated,sequel,Shrek,existing_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,160000000.0,,,point_value,,322719944.0,,807330936,,,,2026-08-18,,True,518213592.09,5.045818
DWA_2007_BEE_MOVIE,Bee Movie,DreamWorks Animation,core,CORE_DWA,DreamWorks,DreamWorks Animation,2007-11-02,2007,co_production,Columbus 81 Productions,theatrical,standard,animated,first_entry,,original_screen_ip,,https://www.the-numbers.com/movies/production-company/DreamWorks-Animation,150000000.0,,,point_value,,126631277.0,,287594577,,,,2026-08-18,,False,201185014.31,1.917297
